"Nombre o título  de la categoría de información","Subcategorías","Nombre o título de la información","Idioma","Medio de conservación y/o soporte","Formato","Calificación","Fecha de generación de la información","Nombre del responsable de la producción de la información","Nombre del responsable de la información","Objetivo legítimo de la excepción","Fundamento constitucional o legal","Fundamento jurídico de la excepción","Excepción total o parcial","Fecha de la calificación","Plazo de clasificación o reserva"
"Comprobantes","Comprobantes por Inflación","Comprobantes por Inflación","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Comprobantes","Comprobantes de Ordenes de Trabajo","Comprobantes de Ordenes de Trabajo","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Comprobantes de Almacén","Comprobantes de Baja de Bienes de Almacén","Comprobantes de Baja de Bienes de Almacén","Español","Físico/Digital","Documento de texto","RESERVADA","Según requerimiento","Dirección Logística Aeronáutica  / Grupo Almacén","Dirección Logística Aeronáutica  / Grupo Almacén","SI","Artículo 18, 19  LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial, información de mantenimiento de aviación de estado por daño a intereses públicos, Las instrucciones en materia diplomática o sobre negociaciones reservadas.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Comprobantes de Almacén","Comprobantes de Ingreso de Almacén","Comprobantes de Ingreso de Almacén","Español","Físico/Digital","Documento de texto","RESERVADA","Según requerimiento","Dirección Logística Aeronáutica  / Grupo Almacén","Dirección Logística Aeronáutica  / Grupo Almacén","SI","Artículo 18, 19  LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial, información de mantenimiento de aviación de estado por daño a intereses públicos, Las instrucciones en materia diplomática o sobre negociaciones reservadas.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Comprobantes de Almacén","Comprobantes de Salida de Almacén","Comprobantes de Salida de Almacén","Español","Físico/Digital","Documento de texto","RESERVADA","Según requerimiento","Dirección Logística Aeronáutica  / Grupo Almacén","Dirección Logística Aeronáutica  / Grupo Almacén","SI","Artículo 18, 19  LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial, información de mantenimiento de aviación de estado por daño a intereses públicos, Las instrucciones en materia diplomática o sobre negociaciones reservadas.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Comprobantes de Almacén","Comprobantes de Activos Fijos","Comprobantes de Activos Fijos","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Conceptos","Conceptos Jurídicos","Conceptos Jurídicos","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo Asesor Jurídico","Grupo Asesor Jurídico","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Conceptos","Conceptos Financieros","Conceptos Financieros","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Conceptos","Conceptos Presupuestales","Conceptos Presupuestales","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Conciliaciones","Conciliaciones Bancarias","Conciliaciones Bancarias","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Conciliaciones","Conciliaciones de Nómina","Conciliaciones de Nómina","Español","Físico/Digital","Documento de texto","RESERVADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personales","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Conciliaciones","Conciliaciones de Propiedad Planta y Equipo","Conciliaciones de Propiedad Planta y Equipo","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Consecutivo de Comunicaciones Oficiales","Consecutivo de Comunicaciones Oficiales Enviadas","Consecutivo de Comunicaciones Oficiales Enviadas","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Todas las dependencias","Todas las dependencias","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Consecutivo de Comunicaciones Oficiales","Consecutivo de Comunicaciones Oficiales Recibidas","Consecutivo de Comunicaciones Oficiales Recibidas","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Todas las dependencias","Todas las dependencias","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Contratos","Contratos de Prestación de Servicios","Contratos de Prestación de Servicios","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo de Gestión de Talento Humano","Grupo de Gestión de Talento Humano","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Contratos","Acuerdos de confidencialidad y memorandos de  entendimiento / Otros Acuerdos","Acuerdos de confidencialidad y memorandos de  entendimiento / Otros Acuerdos","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo Asesor Jurídico","Grupo Asesor Jurídico","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Contratos","Contratos de Aprendizaje","Contratos de Aprendizaje","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo de Gestión de Talento Humano","Grupo de Gestión de Talento Humano","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Control de Asistencia Grupos Primarios","Registro de asistencia a reuniones de Grupo Primario","Registro de asistencia a reuniones de Grupo Primario","Español","Físico/Digital","Documento de texto","CLASIFICADA","Eventual","Todas las dependencias","Todas las dependencias","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Controles Personal","Controles personal - Roster de personal","Controles personal - Roster de personal","Español","Físico/Digital","Documento de texto","CLASIFICADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Controles Personal","Controles personal - Autorizaciones personal","Controles personal - Autorizaciones personal","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Controles Personal","Controles personal - Certificaciones","Controles personal - Certificaciones","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Control Calidad","Oficina de Control Calidad","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, 
Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personal que obren en los archivos de las instituciones públicas o privadas, así como la historia clínica.
Los amparados por el secreto profesional.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Controles Personal","Controles personal - Control de sellos","Controles personal - Control de sellos","Español","Físico/Digital","Documento de texto","PUBLICABLE","Según requerimiento","Oficina de Control Calidad","Oficina de Control Calidad","N/A","N/A","N/A","N/A","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Convenios","Convenios de asociacion y cooperacion","Convenios de asociacion y cooperacion","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo Asesor Jurídico","Grupo Asesor Jurídico","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Dato técnico","Dato Técnico QAP (Quality Assurance Plan)","Dato Técnico QAP (Quality Assurance Plan)","Español","Físico/Digital","Documento de texto","CLASIFICADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Dato técnico","Dato Técnico Autoridad Aviación de Estado","Dato Técnico Autoridad Aviación de Estado","Español","Físico/Digital","Documento de texto","RESERVADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18, 19  LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial, información de mantenimiento de aviación de estado por daño a intereses públicos, Las instrucciones en materia diplomática o sobre negociaciones reservadas.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Dato técnico","Dato Técnico FAA (Federal Aviation Administration)","Dato Técnico FAA (Federal Aviation Administration)","Español","Físico/Digital","Documento de texto","RESERVADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Dato técnico","Dato Técnico NDT","Dato Técnico NDT","Español","Físico/Digital","Documento de texto","RESERVADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Dato técnico","Dato Técnico SRVSOP (Sistema Regional de Cooperación para la Vigilancia de la Seguridad Operacional)","Dato Técnico SRVSOP (Sistema Regional de Cooperación para la Vigilancia de la Seguridad Operacional)","Español","Físico/Digital","Documento de texto","RESERVADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Dato técnico","Dato Técnico UAEAC (Unidad Administrativa Especial de Aeronáutica Civil)","Dato Técnico UAEAC (Unidad Administrativa Especial de Aeronáutica Civil)","Español","Físico/Digital","Documento de texto","RESERVADA","Diaria","Oficina de Control Calidad","Oficina de Control Calidad","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Declaraciones","Declaraciones Aduaneras de Ingresos","Declaraciones Aduaneras de Ingresos","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Logística Aeronáutica  / Grupo Comercio Exterior","Dirección Logística Aeronáutica  / Grupo Comercio Exterior","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Declaraciones","Declaraciones Aduaneras de Salidas","Declaraciones Aduaneras de Salidas","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Logística Aeronáutica  / Grupo Comercio Exterior","Dirección Logística Aeronáutica  / Grupo Comercio Exterior","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Declaraciones","Declaraciones Tributarias","Declaraciones Tributarias","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera","Dirección Administrativa y Financiera","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Derechos de Petición","Derechos de petición, Atención a PQRSD, Respuesta derecho de petición, Comunicaciones y Respuestas","Derechos de petición, Atención a PQRSD, Respuesta derecho de petición, Comunicaciones y Respuestas","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Todas las dependencias","Subgerencia General","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personales","TOTAL","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Diseños","Diseños de Aeronaves No-Tripuladas","Diseños de Aeronaves No-Tripuladas","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección de Producción / Gupo Diseño y Dessarollo","Dirección de Producción / Gupo Diseño y Dessarollo","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Diseños","Diseños de Aeronaves Tripuladas","Diseños de Aeronaves Tripuladas","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección de Producción / Gupo Diseño y Dessarollo","Dirección de Producción / Gupo Diseño y Dessarollo","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Estudios","Estudios de Ingeniería","Estudios de Ingeniería","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección de Prestación del Servicio","Dirección de Prestación del Servicio","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Historia Laboral","Historia Laboral","Historia Laboral","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Grupo de Gestión de Talento Humano","Grupo de Gestión de Talento Humano","SI","Ley 594 de 2000 ,  Ley 1581 de 2012 artículos 3, 5 y 6, Sentencia Corte Constitucional T-220/04, C-274/2013 Ley 1755 de 2015, art 27 Artículo  24.","Información Pública Clasificada, datos semi-privados, privados o sensibles, Los que involucren derechos a la privacidad e intimidad de las personas, incluidas en las hojas de vida, la historia laboral y los expedientes pensionales y demás registros de personales","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Historiales","Historiales de Bienes Inmuebles","Historiales de Bienes Inmuebles","Español","Físico/Digital","Documento de texto","PUBLICABLE","Según requerimiento","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","N/A","N/A","N/A","N/A","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Historiales","Historiales de Vehículos","Historiales de Vehículos","Español","Físico/Digital","Documento de texto","PUBLICABLE","Según requerimiento","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","N/A","N/A","N/A","N/A","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Historiales","Historiales de Blindajes de Aviones","Historiales de Blindajes de Aviones","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección de Producción / Gupo Fabricación","Dirección de Producción / Gupo Fabricación","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Historiales","Historiales de Fabricación de Aviones","Historiales de Fabricación de Aviones","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección de Producción / Gupo Fabricación","Dirección de Producción / Gupo Fabricación","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Historiales","Historiales de Equipo y Maquinaria","Historiales de Equipo y Maquinaria","Español","Físico/Digital","Documento de texto","PUBLICABLE","Según requerimiento","Centro de Entrenamiento","Centro de Entrenamiento","N/A","N/A","N/A","N/A","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Historiales","Historiales de Equipo y Maquinaria","Historiales de Equipo y Maquinaria","Español","Físico/Digital","Documento de texto","PUBLICABLE","Según requerimiento","Centro de Entrenamiento","Centro de Entrenamiento","N/A","N/A","N/A","N/A","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Informe","Informe Análisis contexto de la organización","Informe Análisis contexto de la organización","Español","Físico/Digital","Documento de texto","PUBLICABLE","Según requerimiento","Oficina de Planeación, Innovación y Desarrollo","Oficina de Planeación, Innovación y Desarrollo /Sistema Integrado de Gestión de la Calidad Aeronáutica","N/A","N/A","N/A","N/A","2023 Jan 02 12:00:00 AM","Lo estipulado en la tabla de retención para el tiempo de conservación en el archivo central"
"Informe","Informes de Auditoría Entes Certificadores","Informes de Auditoría Entes Certificadores","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Planeación, Innovación y Desarrollo","Oficina de Planeación, Innovación y Desarrollo /Sistema Integrado de Gestión de la Calidad Aeronáutica","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Informe de Auditoría","Informe de Auditoría","Informe de Auditoría","Español/Inglés","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Planeación, Innovación y Desarrollo/Grupo Aseguramiento de la Calidad GASEC","Oficina de Planeación, Innovación y Desarrollo/Grupo Aseguramiento de la Calidad GASEC","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Informes","Informes de Baja de Bienes","Informes de Baja de Bienes","Inglés","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","Dirección Administrativa y Financiera - Grupo Gestión Administrativa","SI","DECRETO 410 DE 1971 Art. 61","Los libros y papeles del comerciante no podrán examinarse por personas distintas de sus propietarios o personas autorizadas para ello, sino para los fines indicados en la Constitución Nacional y mediante orden de autoridad competente.  Los datos referentes a la información financiera y comercial, en los términos de la Ley Estatutaria 1266 de 2008","TOTAL","2023 Jan 02 12:00:00 AM","15 años"
"Informes","Informes de Conciliación Bancaria","Informes de Conciliación Bancaria","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Control Interno","Oficina de Control Interno","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
"Informes","Informes de Derechos de Autor","Informes de Derechos de Autor","Español","Físico/Digital","Documento de texto","CLASIFICADA","Según requerimiento","Oficina de Control Interno","Oficina de Control Interno","SI","Artículo 18 LEY 1712 DE 2014, DECISION 486 DE 200 CAN ART. 260,261,262","Secreto comercial, industrial y profesional. Licencias de explotación comercial 
Los protegidos por el secreto comercial o industrial, así como los planes estratégicos de las empresas públicas de servicios públicos.","TOTAL","2023 Jan 02 12:00:00 AM","Ilimitado"
